,portfolio_val,cash,paid_out_dividends,fees,taxes,num_buys,num_sells,num_adj,buy_vol,sell_vol,adj_vol
2021-09-01,106260.04161242484,3178.3822576400376,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-09-02,107110.01848359684,3238.245507640038,59.863249999999994,0.0,22.70674999999983,0,0,0,0.0,0.0,0.0
2021-09-03,106983.33609690121,3241.239757640038,2.99425,0.0,1.1357499999999163,0,0,0,0.0,0.0,0.0
2021-09-07,105908.00605068498,3241.239757640038,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-09-08,105891.67262655337,3241.239757640038,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-09-09,105353.56923756935,3245.807257640038,4.5675,0.0,1.7325000000000728,0,0,0,0.0,0.0,0.0
2021-09-10,104940.85259437561,3246.9817576400383,1.1745,0.0,0.4455000000000382,0,0,0,0.0,0.0,0.0
2021-09-13,105235.26913679123,3246.9817576400383,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-09-14,104277.71648073196,3312.327457640038,65.3457,0.0,24.786299999999983,0,0,0,0.0,0.0,0.0
2021-09-15,105292.05168718338,3319.867457640038,7.54,0.0,2.8599999999999,0,0,0,0.0,0.0,0.0
2021-09-16,104723.02476917267,3326.733268540038,6.8658109,0.0,2.6042731000000003,0,0,0,0.0,0.0,0.0
2021-09-17,103637.6441658783,3326.733268540038,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-09-20,101905.1163395691,3369.299468540038,42.56619999999999,0.0,16.14580000000001,0,0,0,0.0,0.0,0.0
2021-09-21,101834.5791858673,3369.299468540038,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-09-22,102864.4548130417,3369.299468540038,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-09-23,104134.64987165452,3370.811818540038,1.5123499999999999,0.0,0.5736500000000433,0,0,0,0.0,0.0,0.0
2021-09-24,103995.92060998917,3373.943818540038,3.132,0.0,1.1880000000001019,0,0,0,0.0,0.0,0.0
2021-09-27,104448.21846609114,3381.891993540038,7.948174999999999,0.0,3.0148249999999734,0,0,0,0.0,0.0,0.0
2021-09-28,102943.55904680252,3391.860743540038,9.96875,0.0,3.78125,0,0,0,0.0,0.0,0.0
2021-09-29,103118.61849098206,3402.1484935400385,10.287750000000003,0.0,3.9022500000000946,0,0,0,0.0,0.0,0.0
2021-09-30,101625.57288972854,3402.1484935400385,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-10-01,101753.89675891877,2397.3892513228043,4.611,2220.0,558.01499369352,33,33,45,32585.33276605606,31514.767124176025,5444.706274032593
2021-10-04,101485.97055599213,2412.280751322804,14.891499999999999,0.0,5.648499999999785,0,0,0,0.0,0.0,0.0
2021-10-05,102453.82627750398,2416.630751322804,4.35,0.0,1.650000000000091,0,0,0,0.0,0.0,0.0
2021-10-06,102447.81723007202,2416.630751322804,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-10-07,103389.45437576294,2426.2007513228036,9.569999999999999,0.0,3.630000000000109,0,0,0,0.0,0.0,0.0
2021-10-08,103244.94221607209,2428.9847513228037,2.784,0.0,1.05600000000004,0,0,0,0.0,0.0,0.0
2021-10-11,103029.81292200089,2428.9847513228037,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-10-12,102992.75307739258,2428.9847513228037,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-10-13,103325.56375650407,2428.9847513228037,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-10-14,105005.10392784118,2435.3493450728038,6.36459375,0.0,2.41415625000036,0,0,0,0.0,0.0,0.0
2021-10-15,105232.75143339158,2435.3493450728038,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-10-18,105497.4838485527,2435.3493450728038,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-10-19,106072.80632448196,2438.249345072804,2.9,0.0,1.099999999999909,0,0,0,0.0,0.0,0.0
2021-10-20,106853.80071207046,2438.249345072804,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-10-21,106699.15269077301,2438.249345072804,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-10-22,107197.24511884688,2438.249345072804,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-10-25,107266.44629205704,2446.079345072804,7.83,0.0,2.9699999999998,0,0,0,0.0,0.0,0.0
2021-10-26,106812.48233486175,2452.8605426728036,6.781197599999999,0.0,2.5721784000002117,0,0,0,0.0,0.0,0.0
2021-10-27,106106.7263776207,2452.8605426728036,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-10-28,106986.48145130157,2472.6240426728036,19.7635,0.0,7.4965000000001965,0,0,0,0.0,0.0,0.0
2021-10-29,106586.9540939331,2486.3482926728034,13.724250000000001,0.0,5.20575000000008,0,0,0,0.0,0.0,0.0
2021-11-01,106934.93627790452,2486.3482926728034,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-11-02,107254.72834609986,2486.3482926728034,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-11-03,107561.655008564,2486.3482926728034,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-11-04,107211.26387781143,2520.1387301728037,33.7904375,0.0,12.817062500000247,0,0,0,0.0,0.0,0.0
2021-11-05,107833.04868505477,2520.1387301728037,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-11-08,108081.45482301712,2520.1387301728037,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-11-09,108149.82670373916,2520.1387301728037,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-11-10,107836.52879922866,2542.4288551728037,22.290125,0.0,8.454875000000357,0,0,0,0.0,0.0,0.0
2021-11-11,108250.41958442688,2542.4288551728037,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-11-12,108811.030249691,2572.819948922804,30.39109375,0.0,11.527656249999836,0,0,0,0.0,0.0,0.0
2021-11-15,108958.42726011276,2572.819948922804,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-11-16,108944.62101818086,2582.172448922804,9.3525,0.0,3.5474999999996726,0,0,0,0.0,0.0,0.0
2021-11-17,108466.03216287613,2587.120573922804,4.948125,0.0,1.8768749999999272,0,0,0,0.0,0.0,0.0
2021-11-18,108294.87509683608,2598.959823922804,11.839249999999998,0.0,4.4907499999999345,0,0,0,0.0,0.0,0.0
2021-11-19,107525.35275003433,2598.959823922804,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-11-22,107798.75001499176,2598.959823922804,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-11-23,108277.32743991852,2598.959823922804,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-11-24,108261.20013950347,2598.959823922804,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-11-26,105987.11777261735,2601.917823922804,2.958,0.0,1.1219999999998436,0,0,0,0.0,0.0,0.0
2021-11-29,106497.3882592392,2614.6105671228042,12.692743200000002,0.0,4.814488800000163,0,0,0,0.0,0.0,0.0
2021-11-30,104163.2045214653,2624.4343171228047,9.82375,0.0,3.726249999999709,0,0,0,0.0,0.0,0.0
2021-12-01,103289.41644107818,2664.3832627728048,39.94894565,0.0,15.153048350000063,0,0,0,0.0,0.0,0.0
2021-12-02,105850.07400978089,2696.0045437728045,31.621281,0.0,11.994279000000006,0,0,0,0.0,0.0,0.0
2021-12-03,105414.57600889207,2696.0045437728045,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-12-06,106507.33169174194,2698.9987937728047,2.99425,0.0,1.1357499999999163,0,0,0,0.0,0.0,0.0
2021-12-07,108036.35522026062,2698.9987937728047,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-12-08,108047.7433411789,2698.9987937728047,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-12-09,107408.09353460312,2702.8267937728046,3.8280000000000003,0.0,1.4520000000002256,0,0,0,0.0,0.0,0.0
2021-12-10,108388.47503225326,2702.8267937728046,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-12-13,108021.2360191536,2702.8267937728046,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-12-14,107504.14328624726,2740.8467000228047,38.019906250000005,0.0,14.421343750000233,0,0,0,0.0,0.0,0.0
2021-12-15,108866.39789440155,2745.0589500228048,4.212249999999999,0.0,1.5977499999999054,0,0,0,0.0,0.0,0.0
2021-12-16,109155.07489778519,2759.500950022805,14.442,0.0,5.4780000000000655,0,0,0,0.0,0.0,0.0
